A1,A
A2,a
A3,ä
AACHT1,aacht
AACHT2,aacht
AACHT3,Aacht
AACHTAFOFZEG1,aachtafofzeg
AACHTAFOFZEGST1,aachtafofzegst
AACHTANACHZEG1,aachtanachzeg
AACHTANACHZEGST1,aachtanachzegst
AACHTANDRESSEG1,aachtandrësseg
AACHTANDRESSEGST1,aachtandrëssegst
AACHTANNONZEG1,aachtannonzeg
AACHTANNONZEGST1,aachtannonzegst
AACHTANUECHZEG1,aachtanuechzeg
AACHTANUECHZEGST1,aachtanuechzegst
AACHTANZWANZEG1,aachtanzwanzeg
AACHTANZWANZEGST1,aachtanzwanzegst
AACHTASECHZEG1,aachtasechzeg
AACHTASECHZEGST1,aachtasechzegst
AACHTASIECHZEG1,aachtasiechzeg
AACHTASIECHZEGST1,aachtasiechzegst
AACHTASIWWENZEG1,aachtasiwwenzeg
AACHTASIWWENZEGST1,aachtasiwwenzegst
AACHTAVEIERZEG1,aachtavéierzeg
AACHTAVEIERZEGST1,aachtavéierzegst
AACHTCHEN1,Aachtchen
AACHTEL1,Aachtel
AACHTERBUNN1,Aachterbunn
AACHTERLEE1,aachterlee
AACHTFACH1,aachtfach
AACHTMOL1,aachtmol
AANGEL1,Aangel
AANSEBUERG1,Aansebuerg
AARBECHT1,Aarbecht
AARBECHTER1,Aarbechter
AARBECHTERFAMILL1,Aarbechterfamill
AARBECHTERIN1,Aarbechterin
AARBECHTERKLASS1,Aarbechterklass
AARBECHTSACCIDENT1,Aarbechtsaccident
AARBECHTSAMT1,Aarbechtsamt
AARBECHTSBEDENGUNGEN1,Aarbechtsbedéngungen
AARBECHTSBEDINGUNGEN1,Aarbechtsbedingungen
AARBECHTSDAG1,Aarbechtsdag
AARBECHTSDOKTER1,Aarbechtsdokter
AARBECHTSDOKTESCH1,Aarbechtsdoktesch
AARBECHTSERLAABNES1,Aarbechtserlaabnes
AARBECHTSERLAABNIS1,Aarbechtserlaabnis
AARBECHTSFAEG1,aarbechtsfäeg
AARBECHTSFAHEG1,aarbechtsfäheg
AARBECHTSGESETZ1,Aarbechtsgesetz
AARBECHTSGEZEI1,Aarbechtsgezei
AARBECHTSGRUPP1,Aarbechtsgrupp
AARBECHTSKLEEDUNG1,Aarbechtskleedung
AARBECHTSKLIMA1,Aarbechtsklima
AARBECHTSKOLLEEG1,Aarbechtskolleeg
AARBECHTSKOLLEEGIN1,Aarbechtskolleegin
AARBECHTSKOLLEG1,Aarbechtskolleg
AARBECHTSKOLLEGIN1,Aarbechtskollegin
AARBECHTSKONDITIOUNEN1,Aarbechtskonditiounen
AARBECHTSKONTRAKT1,Aarbechtskontrakt
AARBECHTSLOS1,aarbechtslos
AARBECHTSLOSEGKEET1,Aarbechtslosegkeet
AARBECHTSLOSENZUEL1,Aarbechtslosenzuel
AARBECHTSMAART1,Aarbechtsmaart
AARBECHTSPENSUM1,Aarbechtspensum
AARBECHTSPLAZ1,Aarbechtsplaz
AARBECHTSPROZESS1,Aarbechtsprozess
AARBECHTSRECHT1,Aarbechtsrecht
AARBECHTSRHYTHMUS1,Aarbechtsrhythmus
AARBECHTSSETZUNG1,Aarbechtssëtzung
AARBECHTSSITUATIOUN1,Aarbechtssituatioun
AARBECHTSSITZUNG1,Aarbechtssitzung
AARBECHTSVERTRAG1,Aarbechtsvertrag
AARBECHTSZAIT1,Aarbechtszäit
AARBECHTSZEMMER1,Aarbechtszëmmer
AARBEL1,Aarbel
AARM1,aarm
AARM2,Aarm
AARMEBUREAU1,Aarmebureau
AARMEBURO1,Aarmebüro
AARMELEITSKASCHT1,Aarmeleitskascht
AARMSEILEG1,aarmséileg
AARMSEILEGKEET1,Aarmséilegkeet
AARMUT1,Aarmut
AARSCH1,Aarsch
AARSCHBAK1,Aarschbak
AARSCHKRECHER1,Aarschkrécher
AARSCHKRECHESCH1,Aarschkréchesch
AARSCHLACH1,Aarschlach
AART1,Aart
AARTLECH1,aartlech
AASCH1,Aasch
AASCHBAK1,Aaschbak
AASCHKRECHER1,Aaschkrécher
AASCHKRECHESCH1,Aaschkréchesch
AASCHLACH1,Aaschlach
AASCHT1,Aascht
AASSEL1,Aassel
AASSELBUER1,Aasselbuer
AASSELBUERERMILLEN1,Aasselbuerer_Millen
AASSELBURREN1,Aasselburren
AASSELBURRERMILLEN1,Aasselburrer_Millen
AASSELSCHEIER1,Aasselscheier
AAXT1,Aaxt
AB1,ab
AB2,ab
ABAND1,Aband
ABANNEN1,abannen
ABATTEMENT1,Abattement
ABAUEN1,abauen
ABAUKICHEN1,Abaukichen
ABBE1,Abbé
ABBERDENGEG1,abberdéngeg
ABBERZUEL1,Abberzuel
ABEE1,abee
ABEEZEN1,abeezen
ABEGRAIFEN1,abegräifen
ABEIEN1,abéien
ABEISSEN1,abéissen
ABENTEUER1,Abenteuer
ABENTEUERLECH1,abenteuerlech
ABERUFFEN1,aberuffen
ABETONEIEREN1,abetonéieren
ABEZEIEN1,abezéien
ABEZUELEN1,abezuelen
ABIERGEREN1,abiergeren
ABILDEN1,abilden
ABILDUNG1,Abildung
ABIMEIEREN2,abiméieren
ABLACK1,Ablack
ABLECK1,Abléck
ABLECK2,Abléck
ABLECKLECH1,ablécklech
ABLENDEN1,ablenden
ABLENNEN1,ablennen
ABO1,Abo
ABONNEIEREN1,abonnéieren
ABONNEMENT1,Abonnement
ABONNENT1,Abonnent
ABONNENTIN1,Abonnentin
ABORDABEL1,abordabel
ABORDEIEREN1,abordéieren
ABRELL1,Abrëll
ABRELLSGECK1,Abrëllsgeck
ABRELLSWIEDER1,Abrëllswieder
ABRELLSWITZ1,Abrëllswitz
ABRENGEN1,abréngen
ABRENNEN1,abrennen
ABRIECHEN2,abriechen
ABRIECHER1,Abriecher
ABRIECHERIN1,Abriecherin
ABROCH1,Abroch
ABRUPT1,abrupt
ABS1,ABS
ABSCHEILECH1,abscheilech
ABSCHID1,Abschid
ABSCHNITT1,Abschnitt
ABSEHBAR1,absehbar
ABSEITS1,Abseits
ABSENCE1,Absence
ABSENDER1,Absender
ABSENNS1,absënns
ABSENTEISMUS1,Absenteismus
ABSICHT1,Absicht
ABSICHTLECH1,absichtlech
ABSOLUT2,absolut
